Global Rank,Institution,Country,Sector,Best Country Quartile
270,University of Nottingham,GBR,Universities,1
271,Michigan State University,USA,Universities,1
272,Universita degli Studi di Padova,ITA,Universities,1
273,Nankai University,CHN,Universities,1
274,University of Utah,USA,Universities,1
275,Doe Joint Genome Institute,USA,Government,1
276,Korea University,KOR,Universities,1
277,NYU Langone Health,USA,Health,1
278,L'Alma Mater Studiorum - Universita di Bologna,ITA,Universities,1
279,"Guangzhou Institute of Biomedicine and Health, Chinese Academy of Sciences",CHN,Government,1
280,Fred Hutchinson Cancer Research Center,USA,Health,1
281,"Centro de Investigacion Biomedica en Red de Cancer, Barcelona",ESP,Health,1
282,Lunds University,SWE,Universities,1
283,Ecole Polytechnique Federale de Lausanne,CHE,Universities,1
284,Centre de Visio per Computador,ESP,Government,1
285,Shenzhen University,CHN,Universities,1
286,University of Birmingham,GBR,Universities,1
287,Max Planck Institut fur Intelligente Systeme,DEU,Government,1
288,University of Glasgow,GBR,Universities,1
288,National Aeronautics and Space Administration,USA,Government,1
290,Charite - Universitatsmedizin Berlin,DEU,Health,1
291,University of Oslo,NOR,Universities,1
292,Princeton University,USA,Universities,1
293,"Biogen Inc, USA",USA,Companies,1
294,Joint BioEnergy Institute,USA,Government,1
295,California Institute of Technology,USA,Universities,1
296,Genome Institute of Singapore,SGP,Government,1
297,Delft University of Technology,NLD,Universities,1
298,University Medical Center Utrecht,NLD,Health,1
299,University of Calgary,CAN,Universities,1
300,"Gilead Sciences Inc, United States",USA,Companies,1
301,Beijing University of Posts and Telecommunications,CHN,Universities,1
302,Universidade de Lisboa,PRT,Universities,1
302,Translational Genomics Research Institute,USA,Health,1
304,Ludwig-Maximilians Universitat Munchen,DEU,Universities,1
305,UC San Diego Health System,USA,Health,1
306,University of Arizona,USA,Universities,1
307,National Centre for Infectious Diseases,SGP,Health,1
308,Children's Hospital Boston ,USA,Health,1
309,Xidian University,CHN,Universities,1
310,King Saud University,SAU,Universities,1
311,"Agency for Science, Technology and Research Singapore",SGP,Government,1
312,"Sanofi, United States",USA,Companies,1
313,Hong Kong Polytechnic University,HKG,Universities,1
314,University of Bristol,GBR,Universities,1
315,Universite PSL,FRA,Universities,1
316,"Hoffmann-La Roche, GmbH., Germany",DEU,Companies,1
317,National Heart Lung and Blood Institute,USA,Health,1
318,Wageningen University and Research Centre,NLD,Universities,1
319,Pfizer,MUL,Companies,1
320,"Institute of Automation, Chinese Academy of Sciences",CHN,Government,1
321,Flanders Interuniversity Institute for Biotechnology,BEL,Government,1
322,"University of Colorado, Denver",USA,Universities,1
323,Peking University Health Science Center,CHN,Universities,1
323,University of Leeds,GBR,Universities,1
323,"Queen Mary, University of London",GBR,Universities,1
326,Jackson Laboratory,USA,Health,1
327,National Institute on Aging,USA,Health,1
328,Xiamen University,CHN,Universities,1
329,Technical University of Denmark,DNK,Universities,1
330,Universidad Complutense de Madrid,ESP,Universities,1
331,Institute for Systems Biology,USA,Health,1
332,"Bristol-Myers Squibb Company, United States",USA,Companies,1
333,University of Virginia,USA,Universities,1
334,Jiangnan University,CHN,Universities,1
335,Korea Advanced Institute of Science and Technology,KOR,Universities,1
336,Novo Nordisk,MUL,Companies,1
337,Novartis,MUL,Companies,1
338,"Novartis Institutes for Biomedical Research, Switzerland",CHE,Companies,1
339,Hunan University,CHN,Universities,1
340,National Institute of Arthritis and Musculoskeletal and Skin Diseases,USA,Health,1
341,"Newcastle University, Newcastle upon Tyne",GBR,Universities,1
342,Mitsubishi Corp,MUL,Companies,1
343,Mitsubishi Electric Corp,MUL,Companies,1
344,GlaxoSmithKline,MUL,Companies,1
345,Leiden University Medical Center,NLD,Health,1
346,Max Planck Institut fur Biochemie,DEU,Government,1
347,Johnson & Johnson,MUL,Companies,1
348,"GlaxoSmithKline, United States",USA,Companies,1
349,The Francis Crick Institute,GBR,Health,1
350,Vancouver Prostate Centre,CAN,Health,1
351,Universidad Autonoma de Madrid,ESP,Universities,1
352,The Rockefeller University,USA,Universities,1
353,Institut Pasteur de Paris,FRA,Health,1
354,Tel Aviv University,ISR,Universities,1
355,Swiss Institute of Bioinformatics,CHE,Non-Profit,1
356,Universitat de Valencia,ESP,Universities,1
357,"University of Colorado, Boulder",USA,Universities,1
358,National Taiwan University,TWN,Universities,1
359,Forschungszentrum fur Molekulare Medizin der Osterreichischen Akademie der Wissenschaften,AUT,Government,1
359,National Institute of Dental and Craniofacial Research,USA,Health,1
361,Centro Nacional de Investigaciones Oncologicas,ESP,Health,1
362,German Cancer Consortium,DEU,Government,1
363,Sanofi,MUL,Companies,1
364,The University of Sheffield,GBR,Universities,1
365,University of Waterloo,CAN,Universities,1
366,Max Planck Institut fur Molekulare Genetik,DEU,Government,1
367,North Carolina State University,USA,Universities,1
368,The Buck Institute for Research on Aging,USA,Health,1
369,"Toyota Research Institute, USA",USA,Companies,1
370,"AstraZeneca, United Kingdom",GBR,Companies,1
370,Universidade do Porto,PRT,Universities,1
372,Janssen,MUL,Companies,1
373,Institut Catala de la Salut Barcelona,ESP,Health,1
374,"Microsoft Research Cambridge, UK",GBR,Companies,1
375,University Medical Center Groningen,NLD,Health,1
376,University of Southampton,GBR,Universities,1
376,Lawrence Berkeley National Laboratory,USA,Government,1
378,Fraunhofer Gesellschaft,DEU,Government,1
379,Fujitsu,MUL,Companies,1
380,Max Planck Institut fur Medizinische Forschung,DEU,Government,1
380,"Orange SA, France",FRA,Companies,1
382,Universita degli Studi di Firenze,ITA,Universities,1
383,Fraunhofer Institut fur Nachrichtentechnik Heinrich Hertz Institut,DEU,Government,1
384,Eli Lilly,MUL,Companies,1
385,Universitat Hamburg,DEU,Universities,1
386,University of Michigan Health System,USA,Health,1
386,World Health Organization,MUL,Health,1
388,Radboud University Nijmegen Medical Centre,NLD,Health,1
389,Uppsala University,SWE,Universities,1
389,"Toyota Motor Corp, USA",USA,Companies,1
391,Jiangsu University,CHN,Universities,1
392,National Institute of Diabetes and Digestive and Kidney Diseases,USA,Health,1
393,Copenhagen University Hospital,DNK,Health,1
394,Universitat Heidelberg,DEU,Universities,1
395,Max Planck Institut fur Biologie Tubingen,DEU,Government,1
396,Vanderbilt University Medical Center,USA,Health,1
397,Alibaba Group,MUL,Companies,1
398,"University of Colorado, Anschutz Medical Campus",USA,Universities,1
399,Canadian Institute for Advanced Research,CAN,Non-Profit,1
400,"Institute of Biophysics, Chinese Academy of Sciences",CHN,Government,1
400,Osaka University,JPN,Universities,1
402,City University of Hong Kong,HKG,Universities,1
402,Fondazione Telethon,ITA,Non-Profit,1
404,"AstraZeneca, United States",USA,Companies,1
405,University of Rochester,USA,Universities,1
406,McMaster University,CAN,Universities,1
407,Japan Agency for Medical Research and Development,JPN,Health,1
408,"Philips Research, Eindhoven",NLD,Companies,1
409,"Nokia Bell Labs, United States",USA,Companies,1
410,Baylor College of Medicine,USA,Universities,1
411,Robert Bosch,MUL,Companies,1
412,"University of Technology, Sydney",AUS,Universities,1
413,Brown University,USA,Universities,1
414,Sony Corp,MUL,Companies,1
415,Koninklijke Philips NV,MUL,Companies,1
416,University Health Network,CAN,Health,1
417,Tianjin Institute of Industrial Biotechnology,CHN,Government,1
418,The University of Western Australia,AUS,Universities,1
419,University of Texas Southwestern Medical Center ,USA,Universities,1
420,China Agricultural University,CHN,Universities,1
421,Academy of Sciences of the Czech Republic,CZE,Government,1
422,"University of Illinois, Chicago",USA,Universities,1
423,Commissariat a l'Energie Atomique et aux Energies Alternatives,FRA,Government,1
424,Sungkyunkwan University,KOR,Universities,1
425,Novo Nordisk A/S,DNK,Companies,1
426,"Nokia, United States",USA,Companies,1
426,King Abdullah University of Science and Technology,SAU,Universities,1
428,Institute of Cancer Research,GBR,Health,1
429,Zhejiang University of Technology,CHN,Universities,1
430,Cardiff University,GBR,Universities,1
431,Norwegian University of Science and Technology,NOR,Universities,1
432,Universita degli Studi di Torino,ITA,Universities,1
433,Jinan University,CHN,Universities,1
434,Amgen,MUL,Companies,1
435,Virginia Polytechnic Institute and State University,USA,Universities,1
436,Nanjing University of Aeronautics and Astronautics,CHN,Universities,1
437,Case Western Reserve University,USA,Universities,1
438,University of Iowa,USA,Universities,1
438,"Saudi Arabian Oil Co, USA",USA,Companies,1
440,NIHR Oxford Biomedical Research Centre,GBR,Health,1
441,Centro de Biologia Molecular Severo Ochoa,ESP,Government,1
442,"University of Alabama, Birmingham",USA,Universities,1
443,"Institute of Chemistry, Chinese Academy of Sciences",CHN,Government,1
444,"University of Maryland, Baltimore",USA,Universities,1
445,"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences",CHN,Government,1
446,"National Institute of Biological Sciences, Beijing",CHN,Government,1
447,"Amazon.com Inc, United States",USA,Companies,1
448,Canon Inc,MUL,Companies,1
449,Universitat Bern,CHE,Universities,1
450,University of Gothenburg,SWE,Universities,1
451,The University of Adelaide,AUS,Universities,1
452,Tehran University of Medical Sciences,IRN,Universities,1
453,St Jude Childrens Research Hospital,USA,Health,1
453,Cisco Systems Inc,MUL,Companies,1
455,Cancer Research Institute Ghent,BEL,Health,1
456,"AstraZeneca, Sweden",SWE,Companies,1
456,Friedrich-Alexander-Universitat Erlangen-Nurnberg,DEU,Universities,1
458,Capital University of Medical Sciences,CHN,Universities,1
459,Wuhan University of Technology,CHN,Universities,1
460,Tohoku University,JPN,Universities,1
461,Institute of Molecular and Cell Biology,SGP,Government,1
462,Institut Gustave Roussy,FRA,Health,1
463,National Institute of Neurological Disorders and Stroke,USA,Health,1
464,Foundation Medicine Inc,USA,Companies,1
464,"Pfizer Inc, United States",USA,Companies,1
466,Commonwealth Scientific and Industrial Research Organization,AUS,Government,1
467,Aix-Marseille Universite,FRA,Universities,1
468,University of Auckland,NZL,Universities,1
469,Max-Delbruck-Centrum fur Molekulare Medizin ,DEU,Government,1
470,"Roche Products Ltd, United Kingdom",GBR,Companies,1
471,Siemens,MUL,Companies,1
472,Universidad de Granada,ESP,Universities,1
473,"Institute of Computing Technology, Chinese Academy of Sciences",CHN,Government,1
474,China University of Geosciences,CHN,Universities,1
475,Nippon Telegraph and Telephone Corporation,MUL,Companies,1
476,"Siemens Healthineers, USA",USA,Companies,1
476,University of Warwick,GBR,Universities,1
478,Panasonic Corp,MUL,Companies,1
479,Center for Disease Control and Prevention China,CHN,Health,1
480,Merck & Co Inc,MUL,Companies,1
481,University of Miami,USA,Universities,1
482,"University of California, Santa Barbara",USA,Universities,1
483,Indiana University-Bloomington,USA,Universities,1
484,Telethon Institute of Genetics and Medicine,ITA,Non-Profit,1
485,Council of Scientific and Industrial Research,IND,Government,1
486,Centre International de Recherche en Infectiologie,FRA,Government,1
487,Institut Micalis,FRA,Government,1
488,Fondazione IFOM Istituto Firc di Oncologia Molecolare,ITA,Health,1
488,Boston University Medical Campus ,USA,Health,1
490,Medizinische Universitat Wien,AUT,Universities,1
491,Boehringer Ingelheim,MUL,Companies,1
492,Oregon Health & Science University,USA,Universities,1
492,National Eye Institute,USA,Health,1
494,Universite Montpellier,FRA,Universities,1
495,"LG Electronics, South Korea",KOR,Companies,1
496,Ontario Institute for Cancer Research,CAN,Non-Profit,1
497,Merck KGaA,MUL,Companies,1
498,Australian National University,AUS,Universities,1
499,Janssen Biotech Inc,USA,Companies,1
500,Telefonica,MUL,Companies,1
501,National University of Defense Technology,CHN,Universities,1
502,"Nippon Telegraph and Telephone Corp, Japan",JPN,Companies,1
503,"Beijing Institute of Genomics, Chinese Academy of Sciences",CHN,Government,1
504,The Hong Kong University of Science and Technology,HKG,Universities,1
505,Cedars-Sinai Medical Center ,USA,Health,1
506,Universite Grenoble-Alpes,FRA,Universities,1
507,Technische Universitat Dresden,DEU,Universities,1
508,Center for Life Sciences,CHN,Government,1
509,Beijing Normal University,CHN,Universities,1
510,"Eli Lilly and Company, United States",USA,Companies,1
511,Deutsches Primatenzentrum,DEU,Government,1
512,"Northeastern University, USA",USA,Universities,1
513,RIKEN-Institute of Physical and Chemical Research,JPN,Government,1
513,Babraham Institute,GBR,Government,1
515,Japan Science & Technology Agency,JPN,Government,1
516,Beth Israel Deaconess Medical Center,USA,Health,1
517,University of Georgia,USA,Universities,1
518,University of Cincinnati,USA,Universities,1
519,University of Exeter,GBR,Universities,1
520,Rheinisch-Westfalische Technische Hochschule Aachen,DEU,Universities,1
521,Institut Eurecom,FRA,Universities,1
522,Universidade Estadual Paulista Julio de Mesquita Filho,BRA,Universities,1
523,"Hoffmann-La Roche Ltd, Switzerland",CHE,Companies,1
524,"ParisTech, Institut des Sciences et Technologies de Paris - PRES",FRA,Government,1
525,"Institute of Microbiology, Chinese Academy of Sciences",CHN,Government,1
526,Sun Health ,USA,Health,1
527,University of Science and Technology Beijing,CHN,Universities,1
527,Orange SA,MUL,Companies,1
529,Takeda Pharmaceuticals International Inc,MUL,Companies,2
530,UCB Pharma SA,MUL,Companies,1
531,Collaborative Innovation Center of Chemical Science and Engineering,CHN,Government,1
531,Bayer,MUL,Companies,2
533,Hanyang University,KOR,Universities,1
534,China University of Mining and Technology,CHN,Universities,1
535,Karolinska University Hospital,SWE,Health,1
536,"Exploration and Petroleum Engineering Advanced Research Center, SAU",SAU,Companies,1
537,City of Hope,USA,Health,1
538,Ohio State University Wexner Medical Center,USA,Health,1
539,ZTE Corp,MUL,Companies,1
540,Universidad de Sevilla,ESP,Universities,1
541,National Institute of Environmental Health Sciences,USA,Health,1
542,Charles University,CZE,Universities,1
543,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences",CHN,Government,1
543,University of Pittsburgh Medical Center ,USA,Health,1
545,National Institute of Health Clinical Center,USA,Health,1
546,University of Pittsburgh Health Sciences,USA,Universities,1
547,Institute for Molecular Medicine,FIN,Health,1
548,Rheinische Friedrich-Wilhelms-Universitat Bonn,DEU,Universities,1
549,Walter and Eliza Hall Institute of Medical Research,AUS,Health,1
550,Collaborative Innovation Center of Geospatial Technology,CHN,Government,1
551,Deakin University,AUS,Universities,1
552,Universitat Politecnica de Valencia,ESP,Universities,1
553,John Innes Center,GBR,Government,1
554,National Human Genome Research Institute,USA,Health,1
555,"Amgen, USA",USA,Companies,1
556,Southern Medical University,CHN,Universities,1
556,Karlsruher Institut fur Technologie,DEU,Universities,1
558,Nanjing University of Science and Technology,CHN,Universities,1
559,King Abdulaziz University,SAU,Universities,1
560,University of Ottawa,CAN,Universities,1
561,University of Western Ontario,CAN,Universities,1
562,Aalborg University,DNK,Universities,1
563,SLAC National Accelerator Laboratory,USA,Government,1
564,National Center for Nanoscience and Technology of China,CHN,Government,1
565,National Institute of Standards and Technology,USA,Government,1
566,Universita degli Studi di Pisa,ITA,Universities,1
567,Albert-Ludwigs-Universitat Freiburg im Breisgau,DEU,Universities,1
568,Universidade Estadual de Campinas,BRA,Universities,1
569,London School of Hygiene and Tropical Medicine,GBR,Universities,1
570,Centro de Investigacion Biomedica en Red de Cancer,ESP,Health,1
571,"Institute of Biological Chemistry, Academia Sinica",TWN,Government,1
572,National Institute on Alcohol Abuse and Alcoholism,USA,Health,1
573,AbbVie,MUL,Companies,2
574,Van Andel Institute,USA,Health,1
575,Institut National de Recherche en Informatique et en Automatique,FRA,Government,1
576,Boyce Thompson Institute for Plant Research,USA,Non-Profit,1
577,University of Athens,GRC,Universities,1
